id,name,computed
201,Zarbi,common
132,Métamorph,rare
80,Flagadoss,very_rare
113,Leveinard,mythic
115,Kangourex,mythic
143,Ronflex,ultra_rare
185,Simularbre,ultra_rare
214,Scarhino,epic
18,Roucarnage,very_rare
20,Rattatac,uncommon
25,Pikachu,very_rare
38,Feunard,ultra_rare
39,Rondoudou,very_rare
49,Aéromite,very_rare
55,Akwakwak,rare
61,Têtarte,uncommon
64,Kadabra,very_rare
67,Machopeur,very_rare
81,Magnéti,uncommon
82,Magnéton,very_rare
92,Fantominus,uncommon
96,Soporifik,rare
101,Électrode,rare
105,Ossatueur,epic
116,Hypotrempe,common
117,Hypocéan,rare
128,Tauros,ultra_rare
130,Léviator,epic
131,Lokhlass,mythic
137,Porygon,mythic
147,Minidraco,very_rare
148,Draco,epic
164,Noarfang,uncommon
166,Coxyclaque,very_rare
182,Joliflor,very_rare
189,Cotovol,epic
192,Héliatronc,very_rare
195,Maraiste,uncommon
199,Roigada,epic
210,Granbull,epic
212,Cizayox,mythic
213,Caratroc,very_rare
216,Teddiursa,very_rare
226,Démanta,epic
231,Phanpy,rare
233,Porygon2,mythic
236,Debugant,epic
237,Kapoera,ultra_rare
238,Lippouti,epic
239,Élekid,epic
240,Magby,epic
241,Écrémeuh,rare
248,Tyranocif,mythic
12,Papilusion,rare
15,Dardargnan,rare
17,Roucoups,uncommon
22,Rapasdepic,uncommon
23,Abo,uncommon
27,Sabelette,common
30,Nidorina,uncommon
32,Nidoran♂,uncommon
34,Nidoking,ultra_rare
37,Goupix,rare
40,Grodoudou,epic
41,Nosferapti,common
42,Nosferalto,uncommon
43,Mystherbe,common
44,Ortide,rare
46,Paras,common
47,Parasect,rare
48,Mimitoss,uncommon
50,Taupiqueur,common
51,Triopikeur,very_rare
52,Miaouss,common
53,Persian,very_rare
54,Psykokwak,common
56,Férosinge,common
57,Colossinge,epic
58,Caninos,rare
62,Tartard,epic
63,Abra,rare
66,Machoc,common
68,Mackogneur,mythic
72,Tentacool,common
73,Tentacruel,rare
75,Gravalanch,uncommon
79,Ramoloss,common
83,Canarticho,very_rare
85,Dodrio,very_rare
86,Otaria,common
88,Tadmorv,common
90,Kokiyas,common
91,Crustabri,epic
93,Spectrum,rare
94,Ectoplasma,mythic
95,Onix,uncommon
97,Hypnomade,very_rare
99,Krabboss,uncommon
100,Voltorbe,common
102,Noeunoeuf,rare
103,Noadkoko,ultra_rare
104,Osselait,rare
106,Kicklee,very_rare
107,Tygnon,very_rare
108,Excelangue,very_rare
109,Smogo,common
112,Rhinoféros,epic
114,Saquedeneu,uncommon
119,Poissoroy,rare
120,Stari,common
122,M. Mime,epic
124,Lippoutou,very_rare
125,Élektek,epic
127,Scarabrute,epic
133,Évoli,epic
134,Aquali,ultra_rare
135,Voltali,ultra_rare
136,Pyroli,ultra_rare
138,Amonita,epic
139,Amonistar,ultra_rare
140,Kabuto,ultra_rare
141,Kabutops,mythic
142,Ptéra,mythic
162,Fouinar,rare
163,Hoothoot,common
167,Mimigal,common
168,Migalos,very_rare
169,Nostenfer,epic
171,Lanturn,very_rare
172,Pichu,epic
176,Togetic,ultra_rare
177,Natu,common
180,Lainergie,uncommon
181,Pharamp,epic
183,Marill,uncommon
184,Azumarill,very_rare
188,Floravol,rare
190,Capumain,common
191,Tournegrin,uncommon
193,Yanma,common
196,Mentali,ultra_rare
197,Noctali,ultra_rare
198,Cornèbre,uncommon
200,Feuforêve,uncommon
205,Foretress,very_rare
211,Qwilfish,uncommon
215,Farfuret,rare
217,Ursaring,very_rare
219,Volcaropod,rare
221,Cochignon,rare
223,Rémoraid,uncommon
228,Malosse,rare
229,Démolosse,very_rare
230,Hyporoi,ultra_rare
234,Cerfrousse,uncommon
235,Queulorior,uncommon
242,Leuphorie,ultra_rare
246,Embrylex,rare
