252,Arcko,Treecko,Plante,
253,Massko,Grovyle,Plante,
254,Jungko,Sceptile,Plante,
255,Poussifeu,Torchic,Feu,
256,Galifeu,Combusken,Feu,Combat
257,Braségali,Blaziken,Feu,Combat
258,Gobou,Mudkip,Eau,
259,Flobio,Marshtomp,Eau,Sol
260,Laggron,Swampert,Eau,Sol
261,Medhyèna,Poochyena,Ténèbres,
262,Grahyèna,Mightyena,Ténèbres,
263,Zigzaton,Zigzagoon,Normal,
264,Linéon,Linoone,Normal,
265,Chenipotte,Wurmple,Insecte,
266,Armulys,Silcoon,Insecte,
267,Charmillon,Beautifly,Insecte,Vol
268,Blindalys,Cascoon,Insecte,
269,Papinox,Dustox,Insecte,Poison
270,Nénupiot,Lotad,Eau,Plante
271,Lombre,Lombre,Eau,Plante
272,Ludicolo,Ludicolo,Eau,Plante
273,Grainipiot,Seedot,Plante,
274,Pifeuil,Nuzleaf,Plante,Ténèbres
275,Tengalice,Shiftry,Plante,Ténèbres
276,Nirondelle,Taillow,Normal,Vol
277,Hélédelle,Swellow,Normal,Vol
278,Goélise,Wingull,Eau,Vol
279,Bekipan,Pelipper,Eau,Vol
280,Tarsal,Ralts,Psy,Fée
281,Kirlia,Kirlia,Psy,Fée
282,Gardevoir,Gardevoir,Psy,Fée
283,Arakdo,Surskit,Insecte,Eau
284,Maskadra,Masquerain,Insecte,Vol
285,Balignon,Shroomish,Plante,
286,Chapignon,Breloom,Plante,Combat
287,Parecool,Slakoth,Normal,
288,Vigoroth,Vigoroth,Normal,
289,Monaflèmit,Slaking,Normal,
290,Ningale,Nincada,Insecte,Sol
291,Ninjask,Ninjask,Insecte,Vol
292,Munja,Shedinja,Insecte,Spectre
293,Chuchmur,Whismur,Normal,
294,Ramboum,Loudred,Normal,
295,Brouhabam,Exploud,Normal,
296,Makuhita,Makuhita,Combat,
297,Hariyama,Hariyama,Combat,
298,Azurill,Azurill,Normal,Fée
299,DZ,Nosepass,Roche,
300,Skitty,Skitty,Normal,
301,Delcatty,Delcatty,Normal,
302,Ténéfix,Sableye,Ténèbres,
303,Mysdibule,Mawile,Acier,Fée
304,Galekid,Aron,Acier,Roche
305,Galegon,Lairon,Acier,Roche
306,Galeking,Aggron,Acier,Roche
307,Méditikka,Meditite,Combat,Psy
308,Charmina,Medicham,Combat,Psy
309,Dynavolt,Electrike,Électrik,
310,Élecsprint,Manectric,Électrik,
311,Posipi,Plusle,Électrik,
312,Négapi,Minun,Électrik,
313,Muciole,Volbeat,Insecte,
314,Lumivole,Illumise,Insecte,
315,Rosélia,Roselia,Plante,Poison
316,Gloupti,Gulpin,Poison,Poison
317,Avaltout,Swalot,Poison,
318,Carvanha,Carvanha,Eau,Ténèbres
319,Sharpedo,Sharpedo,Eau,Ténèbres
320,Wailmer,Wailmer,Eau,
321,Wailord,Wailord,Eau,
322,Chamallot,Numel,Feu,Sol
323,Camérupt,Camerupt,Feu,Sol
324,Chartor,Torkoal,Feu,
325,Spoink,Spoink,Psy,
326,Groret,Grumpig,Psy,
327,Spinda,Spinda,Normal,
328,Kraknoix,Trapinch,Sol,
329,Vibraninf,Vibrava,Sol,Dragon
330,Libégon,Flygon,Sol,Dragon
331,Cacnea,Cacnea,Plante,Ténèbres
332,Cacturne,Cacturne,Plante,
333,Tylton,Swablu,Normal,Vol
334,Altaria,Altaria,Dragon,Vol
335,Mangriff,Zangoose,Normal,
336,Séviper,Seviper,Poison,
337,Séléroc,Lunatone,Roche,Psy
338,Solaroc,Solrock,Roche,Psy
339,Barloche,Barboach,Eau,Sol
340,Barbicha,Whiscash,Eau,
341,Écrapince,Corphish,Eau,
342,Colhomard,Crawdaunt,Eau,
343,Balbuto,Baltoy,Sol,
344,Kaorine,Claydol,Sol,
345,Lilia,Lileep,Roche,
346,Vacilys,Cradily,Roche,
347,Anorith,Anorith,Roche,
348,Armaldo,Armaldo,Roche,
349,Barpau,Feebas,Eau,
350,Milobellus,Milotic,Eau,
351,Morphéo,Castform,Normal,
352,Kecleon,Kecleon,Normal,
353,Polichombr,Shuppet,Spectre,
354,Branette,Banette,Spectre,
355,Skelénox,Duskull,Spectre,
356,Téraclope,Dusclops,Spectre,
357,Tropius,Tropius,Plante,
358,Éoko,Chimecho,Psy,
359,Absol,Absol,Ténèbres,
360,Okéoké,Wynaut,Psy,
361,Stalgamin,Snorunt,Glace,
362,Oniglali,Glalie,Glace,
363,Obalie,Spheal,Glace,
364,Phogleur,Sealeo,Glace,
365,Kaimorse,Walrein,Glace,
366,Coquiperl,Clamperl,Eau,
367,Serpang,Huntail,Eau,
368,Rosabyss,Gorebyss,Eau,
369,Relicanth,Relicanth,Eau,
370,Lovdisc,Luvdisc,Eau,
371,Draby,Bagon,Dragon,
372,Drackhaus,Shelgon,Dragon,
373,Drattak,Salamence,Dragon,
374,Terhal,Beldum,Acier,
375,Métang,Metang,Acier,
376,Métalosse,Metagross,Acier,
377,Regirock,Regirock,Roche,
378,Regice,Regice,Glace,
379,Registeel,Registeel,Acier,
380,Latias,Latias,Dragon,
381,Latios,Latios,Dragon,
382,Kyogre,Kyogre,Eau,
383,Groudon,Groudon,Sol,
384,Rayquaza,Rayquaza,Dragon,
385,Jirachi,Jirachi,Acier,
386,Deoxys,,,
