id,name,rarity,finalScore,appliedRule,oneTimeOnly,flooredByChain,flooredByBaseStats,flooredByBaseStatBonus,flooredByFossilChain,baseStatTotal,maxEncounterChance,gamesCount,locationsCount,easiestMethod,evolutionDepth
252,Arcko,epic,40.00,composite,true,true,false,false,false,310,100,5,5,gift,0
253,Massko,ultra_rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,405,,0,0,,1
254,Jungko,mythic,,priority:no_encounters_inherits_parent,false,false,false,false,false,530,,0,0,,2
255,Poussifeu,epic,40.00,composite,true,true,false,false,false,310,100,5,5,gift,0
256,Galifeu,ultra_rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,405,,0,0,,1
257,Braségali,mythic,,priority:no_encounters_inherits_parent,false,false,false,false,false,530,,0,0,,2
258,Gobou,epic,40.00,composite,true,true,false,false,false,310,100,5,5,gift,0
259,Flobio,ultra_rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,405,,0,0,,1
260,Laggron,mythic,,priority:no_encounters_inherits_parent,false,false,false,false,false,535,,0,0,,2
261,Medhyèna,common,3.00,composite,false,false,false,false,false,220,60,5,21,walk,0
262,Grahyèna,rare,43.50,composite,false,false,false,false,false,420,30,1,3,walk,1
263,Zigzaton,common,0.00,composite,false,false,false,false,false,240,95,5,45,walk,0
264,Linéon,rare,30.50,composite,false,false,false,false,false,420,30,3,12,walk,1
265,Chenipotte,common,8.25,composite,false,false,false,false,false,195,60,5,14,walk,0
266,Armulys,very_rare,50.25,composite,false,false,false,false,false,205,10,3,3,walk,1
267,Charmillon,epic,,priority:no_encounters_inherits_parent,false,false,false,false,false,395,,0,0,,2
268,Blindalys,very_rare,50.25,composite,false,false,false,false,false,205,10,3,3,walk,1
269,Papinox,epic,,priority:no_encounters_inherits_parent,false,false,false,false,false,385,,0,0,,2
270,Nénupiot,uncommon,25.50,composite,false,false,false,false,false,220,35,3,6,walk,0
271,Lombre,very_rare,46.62,composite,false,false,false,false,false,340,20,2,2,walk,1
272,Ludicolo,ultra_rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,480,,0,0,,2
273,Grainipiot,common,12.75,composite,false,false,false,false,false,220,100,3,8,walk,0
274,Pifeuil,very_rare,54.12,composite,false,false,false,false,false,340,10,2,2,walk,1
275,Tengalice,ultra_rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,480,,0,0,,2
276,Nirondelle,uncommon,15.75,composite,false,false,false,false,false,270,40,5,14,walk,0
277,Hélédelle,very_rare,55.75,composite,false,false,false,false,false,455,10,3,3,walk,1
278,Goélise,common,0.00,composite,false,false,false,false,false,270,95,5,106,walk,0
279,Bekipan,very_rare,49.00,composite,false,false,false,false,false,440,5,3,93,surf,1
280,Tarsal,very_rare,48.75,composite,false,false,false,false,false,198,5,5,5,walk,0
281,Kirlia,epic,,priority:no_encounters_inherits_parent,false,false,false,false,false,278,,0,0,,1
282,Gardevoir,mythic,,priority:no_encounters_inherits_parent,false,false,false,true,false,518,,0,0,,2
283,Arakdo,very_rare,51.12,composite,false,false,false,false,false,269,1,2,10,walk,0
284,Maskadra,epic,,priority:no_encounters_inherits_parent,false,false,false,false,false,454,,0,0,,1
285,Balignon,rare,41.25,composite,false,false,false,false,false,295,15,5,5,walk,0
286,Chapignon,very_rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,460,,0,0,,1
287,Parecool,very_rare,50.25,composite,false,false,false,false,false,280,5,3,3,walk,0
288,Vigoroth,epic,,priority:no_encounters_inherits_parent,false,false,false,false,false,440,,0,0,,1
289,Monaflèmit,mythic,,priority:no_encounters_inherits_parent,false,false,true,false,false,670,,0,0,,2
290,Ningale,uncommon,26.25,composite,false,false,false,false,false,266,35,5,5,walk,0
291,Ninjask,rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,456,,0,0,,1
292,Munja,very_rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,236,,0,0,,1
293,Chuchmur,common,9.75,composite,false,false,false,false,false,240,100,5,12,walk,0
294,Ramboum,rare,43.50,composite,false,false,false,false,false,360,16,5,6,walk,1
295,Brouhabam,very_rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,490,,0,0,,2
296,Makuhita,common,11.25,composite,false,false,false,false,false,237,100,5,10,walk,0
297,Hariyama,rare,38.90,composite,false,false,false,false,false,474,35,3,3,walk,1
298,Azurill,ultra_rare,,priority:no_encounters_absent,false,false,false,false,false,190,,0,0,,0
299,Tarinor,rare,39.00,composite,false,false,false,false,false,375,30,3,3,rock-smash,0
