id,name,oldRarity,oldRarityLabel,newRarity,newRarityLabel
12,Papilusion,very_rare,Très rare,rare,Rare
15,Dardargnan,very_rare,Très rare,rare,Rare
17,Roucoups,rare,Rare,uncommon,Peu commun
18,Roucarnage,epic,Épique,very_rare,Très rare
20,Rattatac,rare,Rare,uncommon,Peu commun
22,Rapasdepic,rare,Rare,uncommon,Peu commun
23,Abo,common,Commun,uncommon,Peu commun
27,Sabelette,uncommon,Peu commun,common,Commun
30,Nidorina,rare,Rare,uncommon,Peu commun
32,Nidoran♂,common,Commun,uncommon,Peu commun
34,Nidoking,epic,Épique,ultra_rare,Ultra-Rare
37,Goupix,uncommon,Peu commun,rare,Rare
38,Feunard,very_rare,Très rare,ultra_rare,Ultra-Rare
39,Rondoudou,uncommon,Peu commun,very_rare,Très rare
40,Grodoudou,ultra_rare,Ultra-Rare,epic,Épique
41,Nosferapti,uncommon,Peu commun,common,Commun
42,Nosferalto,rare,Rare,uncommon,Peu commun
43,Mystherbe,uncommon,Peu commun,common,Commun
44,Ortide,uncommon,Peu commun,rare,Rare
46,Paras,uncommon,Peu commun,common,Commun
47,Parasect,very_rare,Très rare,rare,Rare
49,Aéromite,epic,Épique,very_rare,Très rare
50,Taupiqueur,uncommon,Peu commun,common,Commun
51,Triopikeur,epic,Épique,very_rare,Très rare
52,Miaouss,uncommon,Peu commun,common,Commun
53,Persian,epic,Épique,very_rare,Très rare
54,Psykokwak,uncommon,Peu commun,common,Commun
55,Akwakwak,epic,Épique,rare,Rare
56,Férosinge,uncommon,Peu commun,common,Commun
58,Caninos,uncommon,Peu commun,rare,Rare
61,Têtarte,rare,Rare,uncommon,Peu commun
64,Kadabra,epic,Épique,very_rare,Très rare
66,Machoc,uncommon,Peu commun,common,Commun
67,Machopeur,epic,Épique,very_rare,Très rare
68,Mackogneur,ultra_rare,Ultra-Rare,mythic,Mythique
72,Tentacool,uncommon,Peu commun,common,Commun
73,Tentacruel,very_rare,Très rare,rare,Rare
75,Gravalanch,rare,Rare,uncommon,Peu commun
79,Ramoloss,uncommon,Peu commun,common,Commun
80,Flagadoss,ultra_rare,Ultra-Rare,very_rare,Très rare
81,Magnéti,rare,Rare,uncommon,Peu commun
82,Magnéton,epic,Épique,very_rare,Très rare
83,Canarticho,rare,Rare,very_rare,Très rare
85,Dodrio,rare,Rare,very_rare,Très rare
86,Otaria,uncommon,Peu commun,common,Commun
88,Tadmorv,uncommon,Peu commun,common,Commun
90,Kokiyas,uncommon,Peu commun,common,Commun
92,Fantominus,rare,Rare,uncommon,Peu commun
93,Spectrum,very_rare,Très rare,rare,Rare
94,Ectoplasma,ultra_rare,Ultra-Rare,mythic,Mythique
95,Onix,rare,Rare,uncommon,Peu commun
96,Soporifik,common,Commun,rare,Rare
97,Hypnomade,rare,Rare,very_rare,Très rare
99,Krabboss,rare,Rare,uncommon,Peu commun
100,Voltorbe,uncommon,Peu commun,common,Commun
101,Électrode,very_rare,Très rare,rare,Rare
102,Noeunoeuf,very_rare,Très rare,rare,Rare
103,Noadkoko,epic,Épique,ultra_rare,Ultra-Rare
104,Osselait,very_rare,Très rare,rare,Rare
106,Kicklee,epic,Épique,very_rare,Très rare
107,Tygnon,epic,Épique,very_rare,Très rare
108,Excelangue,epic,Épique,very_rare,Très rare
109,Smogo,uncommon,Peu commun,common,Commun
114,Saquedeneu,rare,Rare,uncommon,Peu commun
116,Hypotrempe,rare,Rare,common,Commun
117,Hypocéan,very_rare,Très rare,rare,Rare
120,Stari,uncommon,Peu commun,common,Commun
124,Lippoutou,epic,Épique,very_rare,Très rare
125,Élektek,ultra_rare,Ultra-Rare,epic,Épique
127,Scarabrute,ultra_rare,Ultra-Rare,epic,Épique
130,Léviator,ultra_rare,Ultra-Rare,epic,Épique
132,Métamorph,ultra_rare,Ultra-Rare,rare,Rare
133,Évoli,very_rare,Très rare,epic,Épique
138,Amonita,very_rare,Très rare,epic,Épique
139,Amonistar,epic,Épique,ultra_rare,Ultra-Rare
147,Minidraco,epic,Épique,very_rare,Très rare
148,Draco,ultra_rare,Ultra-Rare,epic,Épique
162,Fouinar,uncommon,Peu commun,rare,Rare
163,Hoothoot,uncommon,Peu commun,common,Commun
164,Noarfang,rare,Rare,uncommon,Peu commun
166,Coxyclaque,uncommon,Peu commun,very_rare,Très rare
167,Mimigal,uncommon,Peu commun,common,Commun
168,Migalos,rare,Rare,very_rare,Très rare
171,Lanturn,rare,Rare,very_rare,Très rare
172,Pichu,very_rare,Très rare,epic,Épique
177,Natu,uncommon,Peu commun,common,Commun
180,Lainergie,rare,Rare,uncommon,Peu commun
182,Joliflor,uncommon,Peu commun,very_rare,Très rare
183,Marill,common,Commun,uncommon,Peu commun
188,Floravol,uncommon,Peu commun,rare,Rare
189,Cotovol,rare,Rare,epic,Épique
190,Capumain,uncommon,Peu commun,common,Commun
191,Tournegrin,common,Commun,uncommon,Peu commun
192,Héliatronc,uncommon,Peu commun,very_rare,Très rare
193,Yanma,uncommon,Peu commun,common,Commun
