id,name,manual,computed,distance,appliedRule,finalScore,maxEncounterChance,gamesCount,easiestMethod,evolutionDepth,oneTimeOnly,flooredByChain
298,Azurill,rare,ultra_rare,3,priority:no_encounters_absent,,,0,,0,false,false
300,Skitty,common,very_rare,3,composite,47.24999999999999,5,5,walk,0,false,false
301,Delcatty,rare,ultra_rare,3,priority:no_encounters_inherits_parent,,,0,,1,false,false
324,Chartor,ultra_rare,rare,-3,composite,37.75,30,3,walk,0,false,false
369,Relicanth,uncommon,epic,3,composite,67.75,5,3,seaweed,0,false,false
266,Armulys,uncommon,very_rare,2,composite,50.25,10,3,walk,1,false,false
267,Charmillon,rare,epic,2,priority:no_encounters_inherits_parent,,,0,,2,false,false
268,Blindalys,uncommon,very_rare,2,composite,50.25,10,3,walk,1,false,false
269,Papinox,rare,epic,2,priority:no_encounters_inherits_parent,,,0,,2,false,false
287,Parecool,uncommon,very_rare,2,composite,50.25,5,3,walk,0,false,false
303,Mysdibule,very_rare,uncommon,-2,composite,25.499999999999996,35,3,walk,0,false,false
313,Muciole,common,rare,2,composite,43.49999999999999,18,3,walk,0,false,false
319,Sharpedo,very_rare,uncommon,-2,composite,24.75,40,5,super-rod,1,false,false
321,Wailord,very_rare,ultra_rare,2,composite,64.49999999999999,1,3,surf,1,false,false
326,Groret,epic,rare,-2,priority:no_encounters_inherits_parent,,,0,,1,false,false
327,Spinda,rare,common,-2,composite,15,95,5,walk,0,false,false
333,Tylton,rare,common,-2,composite,9.75,100,5,walk,0,false,false
336,Séviper,uncommon,very_rare,2,composite,49.42499999999999,19,2,walk,0,false,false
339,Barloche,rare,common,-2,composite,15,100,3,good-rod,0,false,false
349,Barpau,very_rare,uncommon,-2,composite,27.749999999999996,50,3,feebas-tile-fishing,0,false,false
353,Polichombr,rare,common,-2,composite,8.999999999999998,100,5,walk,0,false,false
355,Skelénox,rare,common,-2,composite,15,100,3,walk,0,false,false
358,Éoko,rare,epic,2,composite,63.625,2,3,walk,1,false,false
360,Okéoké,rare,common,-2,composite,10.5,100,5,walk,0,false,false
361,Stalgamin,common,rare,2,composite,45,10,5,walk,0,false,false
364,Phogleur,very_rare,uncommon,-2,priority:no_encounters_inherits_parent,,,0,,1,false,false
365,Kaimorse,ultra_rare,very_rare,-2,priority:no_encounters_inherits_parent,,,0,,2,false,false
372,Drackhaus,ultra_rare,very_rare,-2,priority:no_encounters_inherits_parent,,,0,,1,false,false
262,Grahyèna,uncommon,rare,1,composite,43.5,30,1,walk,1,false,false
264,Linéon,uncommon,rare,1,composite,30.5,30,3,walk,1,false,false
270,Nénupiot,common,uncommon,1,composite,25.499999999999996,35,3,walk,0,false,false
271,Lombre,rare,very_rare,1,composite,46.62499999999999,20,2,walk,1,false,false
272,Ludicolo,epic,ultra_rare,1,priority:no_encounters_inherits_parent,,,0,,2,false,false
273,Grainipiot,common,uncommon,1,composite,23.999999999999996,35,3,walk,0,false,false
274,Pifeuil,rare,very_rare,1,composite,54.12499999999999,10,2,walk,1,false,false
275,Tengalice,epic,ultra_rare,1,priority:no_encounters_inherits_parent,,,0,,2,false,false
276,Nirondelle,common,uncommon,1,composite,15.749999999999996,40,5,walk,0,false,false
278,Goélise,uncommon,common,-1,composite,0,95,5,walk,0,false,false
280,Tarsal,rare,very_rare,1,composite,48.75,5,5,walk,0,false,false
281,Kirlia,very_rare,epic,1,priority:no_encounters_inherits_parent,,,0,,1,false,false
283,Arakdo,rare,very_rare,1,composite,51.12499999999999,1,2,walk,0,false,false
285,Balignon,uncommon,rare,1,composite,41.25,15,5,walk,0,false,false
295,Brouhabam,epic,very_rare,-1,priority:no_encounters_inherits_parent,,,0,,2,false,false
296,Makuhita,uncommon,common,-1,composite,11.25,50,5,walk,0,false,false
297,Hariyama,very_rare,rare,-1,composite,38.9,35,3,walk,1,false,false
302,Ténéfix,rare,uncommon,-1,composite,23.25,35,3,walk,0,false,false
305,Galegon,very_rare,rare,-1,composite,42,25,3,walk,1,false,false
309,Dynavolt,uncommon,common,-1,composite,12.749999999999998,60,5,walk,0,false,false
316,Gloupti,uncommon,rare,1,composite,42.75,15,3,walk,0,false,false
320,Wailmer,uncommon,common,-1,composite,7.5,100,3,good-rod,0,false,false
322,Chamallot,uncommon,common,-1,composite,8.999999999999998,75,5,walk,0,false,false
325,Spoink,rare,uncommon,-1,composite,26.25,35,5,walk,0,false,false
328,Kraknoix,rare,uncommon,-1,composite,15.749999999999998,50,3,walk,0,false,false
329,Vibraninf,very_rare,rare,-1,priority:no_encounters_inherits_parent,,,0,,1,false,false
330,Libégon,ultra_rare,epic,-1,priority:no_encounters_inherits_parent,,,0,,2,false,false
331,Cacnea,uncommon,rare,1,composite,39,20,3,walk,0,false,false
335,Mangriff,rare,very_rare,1,composite,53.3,19,1,walk,0,false,false
340,Barbicha,epic,very_rare,-1,composite,54.8,20,3,super-rod,1,false,false
342,Colhomard,very_rare,rare,-1,priority:no_encounters_inherits_parent,,,0,,1,false,false
344,Kaorine,epic,very_rare,-1,composite,39,25,3,walk,1,false,false
350,Milobellus,ultra_rare,epic,-1,priority:no_encounters_inherits_parent,,,0,,1,false,false
351,Morphéo,very_rare,epic,1,composite,42,100,5,gift,0,true,true
352,Kecleon,very_rare,rare,-1,composite,37.75,5,5,walk,0,false,false
357,Tropius,rare,very_rare,1,composite,53.24999999999999,9,3,walk,0,false,false
359,Absol,epic,very_rare,-1,composite,54.49999999999999,8,3,walk,0,false,false
366,Coquiperl,rare,uncommon,-1,composite,25.499999999999996,65,3,seaweed,0,false,false
367,Serpang,ultra_rare,epic,-1,priority:no_encounters_inherits_parent,,,0,,1,false,false
368,Rosabyss,ultra_rare,epic,-1,priority:no_encounters_inherits_parent,,,0,,1,false,false
370,Lovdisc,rare,uncommon,-1,composite,29.249999999999996,40,3,good-rod,0,false,false
371,Draby,very_rare,rare,-1,composite,33.75,25,5,walk,0,false,false
374,Terhal,very_rare,epic,1,composite,40,100,5,gift,0,true,true
